playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,BACON,TAV
tomasya01,104,19,3,10,48,44,24,101,13,1,3,5,2,386,413,0.269,0.317,0.412,0.729,0.142,0.319,1.9,24.46%,5.81%,4.21,0.342,0.365,0.264
tomlike01,75,12,3,6,33,36,23,62,6,1,2,6,4,270,296,0.278,0.339,0.411,0.750,0.133,0.330,4.1,20.95%,7.77%,2.70,0.342,0.361,0.272
torrean02,46,10,1,3,18,22,15,39,4,1,1,3,1,181,200,0.254,0.315,0.370,0.685,0.116,0.304,-1.5,19.50%,7.50%,2.60,0.309,0.324,0.253
torrero01,48,10,1,6,24,25,17,42,4,1,2,3,1,183,204,0.262,0.332,0.426,0.758,0.164,0.333,3.3,20.59%,8.33%,2.47,0.311,0.340,0.275
torreyo01,45,9,1,3,20,18,15,34,5,1,1,2,1,181,200,0.249,0.310,0.359,0.669,0.110,0.297,-2.5,17.00%,7.50%,2.27,0.292,0.306,0.249
tovarwi01,46,9,1,5,22,23,17,41,5,2,2,4,1,179,200,0.257,0.328,0.402,0.731,0.145,0.325,1.9,20.50%,8.50%,2.41,0.308,0.333,0.268
tracych01,44,8,1,5,20,19,15,38,4,1,1,2,2,182,200,0.242,0.303,0.379,0.682,0.137,0.302,-1.8,19.00%,7.50%,2.53,0.281,0.306,0.252
travide01,82,20,1,10,42,45,26,63,6,1,3,4,2,289,319,0.284,0.349,0.464,0.813,0.180,0.354,10.5,19.75%,8.15%,2.42,0.333,0.363,0.290
triunca01,44,9,1,5,21,22,15,43,4,1,2,3,1,183,202,0.240,0.305,0.383,0.688,0.142,0.304,-1.4,21.29%,7.43%,2.87,0.289,0.314,0.254
troutmi01,156,33,6,31,89,97,82,146,9,9,8,16,5,520,612,0.300,0.403,0.565,0.969,0.265,0.421,52.7,23.86%,13.40%,1.78,0.364,0.417,0.338
trumbma01,116,23,2,21,70,60,39,127,12,3,1,3,2,467,509,0.248,0.308,0.441,0.749,0.193,0.327,5.5,24.95%,7.66%,3.26,0.298,0.341,0.270
tuckepr01,84,20,1,13,40,42,26,77,5,1,3,2,2,332,362,0.253,0.313,0.437,0.750,0.184,0.327,4.0,21.27%,7.18%,2.96,0.293,0.329,0.270
tuiasma01,45,9,1,6,25,25,20,47,4,1,2,2,1,177,200,0.254,0.337,0.418,0.755,0.164,0.333,3.3,23.50%,10.00%,2.35,0.315,0.346,0.275
tulowtr01,132,25,1,20,69,75,49,96,11,5,5,2,1,446,504,0.296,0.372,0.491,0.863,0.195,0.378,26.4,19.05%,9.72%,1.96,0.339,0.377,0.307
turneju01,119,26,1,12,56,54,36,80,10,2,8,6,2,404,452,0.295,0.364,0.453,0.817,0.158,0.359,16.5,17.70%,7.96%,2.22,0.343,0.367,0.293
turnetr01,52,10,1,6,23,27,19,49,4,1,2,4,3,200,222,0.260,0.330,0.410,0.740,0.150,0.327,2.4,22.07%,8.56%,2.58,0.317,0.344,0.270
ugglada01,49,8,2,8,28,29,32,77,5,1,4,2,1,248,286,0.198,0.299,0.343,0.642,0.145,0.289,-5.4,26.92%,11.19%,2.41,0.252,0.287,0.243
uptonbj01,74,15,3,8,27,38,35,106,5,3,1,11,4,332,372,0.223,0.299,0.358,0.657,0.136,0.294,-5.7,28.49%,9.41%,3.03,0.303,0.327,0.246
uptonju01,133,27,2,24,78,78,61,148,10,3,4,11,3,505,574,0.263,0.347,0.467,0.815,0.204,0.356,19.8,25.78%,10.63%,2.43,0.327,0.373,0.291
uribeju01,110,21,1,12,50,44,29,84,13,3,2,3,1,403,439,0.273,0.325,0.419,0.744,0.146,0.327,5.0,19.13%,6.61%,2.90,0.319,0.345,0.270
urruthe01,52,9,1,5,24,24,15,41,5,1,1,3,1,200,218,0.260,0.315,0.390,0.705,0.130,0.311,-0.4,18.81%,6.88%,2.73,0.305,0.327,0.258
urshegi01,77,13,1,9,33,36,25,72,9,1,3,2,2,315,344,0.244,0.306,0.378,0.684,0.133,0.302,-2.9,20.93%,7.27%,2.88,0.291,0.317,0.252
utleych01,108,23,3,10,52,52,37,71,8,5,7,6,1,425,478,0.254,0.324,0.393,0.717,0.139,0.319,2.4,14.85%,7.74%,1.92,0.285,0.305,0.265
valaich01,48,10,1,5,23,21,15,48,6,1,2,3,1,193,213,0.249,0.310,0.389,0.698,0.140,0.308,-0.8,22.54%,7.04%,3.20,0.307,0.331,0.257
valbulu01,104,23,2,18,53,60,56,103,10,3,4,2,2,439,501,0.237,0.329,0.421,0.750,0.185,0.331,7.3,20.56%,11.18%,1.84,0.270,0.310,0.273
valdejo02,45,8,1,6,23,22,16,41,3,1,2,4,2,192,213,0.234,0.300,0.380,0.680,0.146,0.301,-2.1,19.25%,7.51%,2.56,0.269,0.298,0.251
valenda01,106,25,2,14,58,51,29,88,12,2,2,3,2,383,417,0.277,0.331,0.462,0.793,0.185,0.345,10.7,21.10%,6.95%,3.03,0.327,0.359,0.283
vanslsc01,80,18,1,12,42,37,35,87,8,2,4,5,2,308,351,0.260,0.343,0.442,0.784,0.182,0.345,9.0,24.79%,9.97%,2.49,0.325,0.362,0.283
vargake01,75,12,1,10,39,36,20,81,8,2,2,2,1,290,315,0.259,0.311,0.410,0.721,0.152,0.317,1.0,25.71%,6.35%,4.05,0.327,0.359,0.263
